4 4 18 18
4 4 29 29
5 5 24 24
5 5 29 29
6 6 18 18
6 6 19 19
6 6 21 21
6 6 24 24
7 7 25 25
8 8 5 5
8 8 26 26
9 9 5 5
9 9 21 21
11 11 5 5
11 11 24 24
12 12 5 5
12 12 29 29
13 13 4 4
13 13 5 5
14 14 3 3
14 14 4 4
14 14 5 5
15 15 3 3
15 15 4 4
15 15 11 11
15 15 12 12
16 16 3 3
16 16 4 4
17 17 20 20
19 19 21 21
19 19 28 28
20 20 11 11
20 20 24 24
21 21 24 24
21 21 28 28
24 24 2 2
25 25 2 2
26 26 2 2
27 27 2 2
28 28 2 2
28 28 19 19
28 28 27 27
29 29 2 2
29 29 24 24
30 30 20 20
35 35 19 19
37 37 12 12
37 37 16 16
37 37 24 24
37 37 25 25
37 37 26 26
38 38 25 25
39 39 28 28
40 40 19 19
40 40 22 22
40 40 26 26
41 41 12 12
41 41 15 15
43 43 28 28
45 45 26 26
47 47 11 11
47 47 19 19
47 47 20 20
53 53 26 26
54 54 13 13
54 54 14 14
54 54 16 16
55 55 26 26
58 58 21 21
60 60 21 21
63 63 15 15
71 71 26 26
73 73 26 26
73 73 28 28
74 74 18 18
74 74 19 19
77 77 10 10
78 78 11 11
78 78 12 12
78 78 21 21
78 78 24 24
78 78 26 26
82 82 22 22
83 83 10 10
87 87 10 10
90 90 19 19
91 91 26 26
94 94 20 20
95 95 20 20
95 95 24 24
96 96 12 12
96 96 20 20
99 99 10 10
100 100 11 11
101 101 20 20
101 101 25 25
109 109 12 12
111 111 10 10
113 113 18 18
113 113 20 20
114 114 20 20
116 116 20 20
126 126 20 20
134 134 18 18
137 137 18 18
139 139 18 18
141 141 19 19
142 142 18 18
143 143 18 18
145 145 19 19
154 154 20 20
155 155 20 20
157 157 17 17
162 162 10 10
163 163 10 10
164 164 14 14
167 167 17 17
168 168 18 18
172 172 18 18
175 175 19 19
178 178 17 17
181 181 14 14
181 181 15 15
181 181 18 18
183 183 17 17
183 183 18 18
190 190 12 12
190 190 15 15
191 191 18 18
193 193 16 16
195 195 15 15
200 200 14 14
201 201 15 15
204 204 11 11
204 204 16 16
207 207 15 15
215 215 14 14
215 215 15 15
218 218 13 13
222 222 13 13
234 234 11 11
236 236 14 14
239 239 15 15
240 240 11 11
241 241 15 15
244 244 13 13
245 245 15 15
247 247 12 12
248 248 13 13
253 253 14 14
254 254 12 12
255 255 11 11
256 256 10 10
259 259 10 10
261 261 12 12
266 266 11 11
266 266 12 12
274 274 10 10
275 275 12 12
278 278 12 12
286 286 11 11
288 288 11 11
288 288 13 13
289 289 11 11
296 296 10 10
312 312 12 12
314 314 10 10
316 316 12 12
317 317 10 10
317 317 11 11
321 321 12 12
322 322 11 11
324 324 12 12
348 348 10 10
355 355 10 10
355 355 11 11
357 357 11 11
367 367 10 10
368 368 10 10
373 373 10 10
375 375 11 11
376 376 11 11
379 379 11 11
387 387 11 11
390 390 10 10
409 409 10 10
426 426 10 10
428 428 10 10
431 431 10 10
